Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken)
Excel: Dashboards for Beginners,"Did you know that you can quickly create a dashboard in Excel even if you’re pressed for time? While many people assume that dashboards are complicated and limited to the most advanced Excel power users, it’s simply not true–all you need is a little practice. In this short course, Excel MVP Jordan Goldmeier demystifies dashboards and shows you how to create your first interactive dashboard in minutes.<br><br>Explore the basic components of a dashboard in Excel: tables, PivotTables, PivotCharts, slicers, and timelines. Learn how to plan a dashboard, create a summary table, build a time series chart, and then finalize your dashboard so it's ready to share with stakeholders. Jordan gives you quick, easy-to-use tips and techniques so you can start visualizing your data immediately.",Course,2023,2023-04-13 10:09 UTC,FALSE,N/A
Recruiting Talent with Social Media,"Social media is changing the way recruiters source talent. In this course, social recruiting expert Bert Verdonck shows how to leverage the top social media platforms—LinkedIn, Twitter, and Facebook—to find and attract top talent. Learn how to find qualified candidates, make a compelling company profile, and write articles, posts, and tweets that attract talent. Plus, find out how to post job openings on LinkedIn and Facebook, and get time-saving tools and techniques that will help you spend more time on people and less time on tech.",Course,2020,N/A,FALSE,N/A
Tableau Essential Training (2022),"Tableau is a powerful and versatile data analytics and visualization tool that many consider indispensable for data science work. Its drag-and-drop interface makes it easy to sort, compare, and analyze data from multiple sources, including Excel, SQL Server, and cloud-based data repositories. In this course, learn how to analyze and display data using Tableau 2022—and make better, more data-driven decisions for your company. Instructor Curt Frye shows how to install Tableau, connect to data sources, and sort and filter your data. Curt uses real-world examples to demonstrate how to create and manipulate data visualizations—including highlight tables, charts, scatter plots, histograms, maps, and dashboards—and shows how to share your visualizations.",Course,2022,N/A,FALSE,N/A
Creating Illustrator Infographics,"Infographics are everywhere. These data-driven illustrations visualize your data and help to tell the story behind it. In this course, Tony Harmer shows how to design charts, graphs, and other infographic assets in Adobe Illustrator. Learn how to get started by developing core skills, including the ability to create and customize basic images, charts and graphs, and illustrated tables that link to your data. Explore the five key components of a great information design with step-by-step tips on how to achieve it. Tony walks you through the many different graph types available in the latest version of Illustrator, including extendable charts, timelines and poster options, embellishments, add-ons, and more. By the end of this course, you’ll be prepared to choose the infographic option that’s best for you and your data.",Course,2023,N/A,FALSE,N/A
Conducting Remote UX Research Interviews,"Interviews are one of the most important methods in a UX researcher’s tool kit. They’re crucial for gathering insights from key project stakeholders. But how do you conduct a successful interview when your team is working remotely? In this course, instructor Amanda Stockwell shows you some small tweaks you can make to your research process to get the most out of remote interviews.<br><br>Learn the basics of remote research methods and how to conduct a successful remote interview, with tips on planning, scheduling, stakeholder recruitment, and managing remote logistics. Explore strategies for moderating an effective session that goes smoothly and efficiently, as Amanda gives you pointers on remote qualitative analysis using collaborative notes, transcripts, and tools. Upon completing this course, you’ll be equipped with new techniques to avoid burnout and keep your team focused, even during longer research sessions.",Course,2022,N/A,FALSE,N/A
Tableau Essential Training (2021),"Tableau is a powerful and versatile data analytics and visualization tool that many consider indispensable for data science work. Its drag-and-drop interface makes it easy to sort, compare, and analyze data from multiple sources, including Excel, SQL Server, and cloud-based data repositories. In this course, learn how to analyze and display data using Tableau 2021—and make better, more data-driven decisions for your company. Instructor Curt Frye shows how to install Tableau, connect to data sources, and sort and filter your data. Curt uses real-world examples to demonstrate how to create and manipulate data visualizations—including highlight tables, charts, scatter plots, histograms, maps, and dashboards—and shows how to share your visualizations.",Course,2022,2022-07-12 04:35 UTC,FALSE,N/A
Critical Thinking for More Effective Communication,"In order to be a successful leader, clear communication is a key aspect to your effectiveness. After a conversation with you, do people feel clear on your position, or confused? Are they confident that you’ll welcome different perspectives, or are they uncomfortable voicing disagreement with you? In this course, Becki Saltzman shows how critical thinking improves your clarity of thought and conversation confidence, and explains how and when to communicate using critical thinking. Becki gives advice on how to construct good arguments and recognize bad ones, how to maintain productive communication even when you disagree, and how to recognize the difference between debating and negotiating. Whether you’re a seasoned leader or new to a leadership role, by the end of this course you’ll have new ways to communicate more effectively through critical thinking.",Course,2022,2022-05-17 07:49 UTC,FALSE,N/A
Learning Python (2020),"Python—the popular and highly readable object-oriented language—is both powerful and relatively easy to learn. Whether you're new to programming or an experienced developer, this course can help you get started with Python. Joe Marini provides an overview of the installation process, basic Python syntax, and an example of how to construct and run a simple Python program. Learn to work with dates and times, read and write files, and retrieve and parse HTML, JSON, and XML data from the web.",Course,2021,N/A,FALSE,N/A
R Essential Training: Wrangling and Visualizing Data,"Trying to locate meaning and direction in big data is difficult. R can help you find your way. R is a statistical programming language to analyze and visualize the relationships between large amounts of data. This training series provides a thorough introduction to R, with detailed instruction for installing and navigating R and RStudio and hands-on examples, from exploratory graphics to neural networks. In part one, instructor Barton Poulson shows how to get R and popular R packages up and running and start importing, cleaning, and converting data for analysis. He also shows how to create visualizations such as bar charts, histograms, and scatterplots and transform categorical, qualitative, and outlier data to best meet your research questions and the requirements of your algorithms.",Course,2022,2022-07-12 03:58 UTC,FALSE,N/A
Excel: Power Pivot for Beginners,"The Power Pivot feature in Microsoft Excel for Windows allows you to import, merge, and analyze data from many sources. Many people assume Power Pivot is a complex feature reserved for advanced users. Not so! In this short course, instructor Josh Rischin debunks myths around Power Pivot, explaining what it is and the best way to use it. Josh walks you through building a basic data model by identifying your data sources and creating data relationships. He then shows how to analyze the data and present your results using PivotTables and PivotCharts.",Course,2023,N/A,FALSE,N/A
Quick Start Guide to SQL,"Are you looking to take a deeper dive into the fundamentals of structured query language (SQL)? This short, beginner-friendly course is just the place to start. Join instructor Deepa Maddala as she walks you through the basics of SQL and how to make it work seamlessly with large Oracle datasets.<br><br>Learn about relational database management systems, SQL, and how it works. Explore strategies that you can put to use fetching data from tables, filtering data, and manipulating data with single-row and multiple-row functions, as well as joins and subqueries. By the end of this course, you’ll not only have a deeper understanding of the basic concepts of SQL—you’ll also be ready to get started working on real-time business scenarios.",Course,2022,N/A,FALSE,N/A
Agile Project Management with Microsoft Project,"<div><a href=""https://www.linkedin.com/newsletters/6767151075767197696?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Bonnie's LinkedIn Newsletter</a></div><br>Learn how to use Microsoft Project to manage agile and hybrid projects. Bonnie Biafore covers setting up agile projects for success, as well as creating custom fields to track elements unique to the agile project method, such as features and sprints. She also shows how to manage traditionally scheduled tasks and agile work side by side, track agile project progress, generate burndown reports, and determine your team's velocity. Plus, learn about the agile tools that are built into the Project Online desktop client.",Course,2022,2022-05-23 11:19 UTC,FALSE,N/A
Power BI: Integrating AI and Machine Learning,"<div><a href=""https://www.linkedin.com/newsletters/6827804190581039104?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Helen's LinkedIn Newsletter</a></div><br>Power BI is a powerful data analytics and visualization tool that allows business users to monitor data, analyze trends, and make decisions. Every month, Microsoft pushes Power BI updates out to the end users, and the growth of Power BI is a key part of Microsoft’s current strategy. This course showcases existing AI and machine learning capabilities available directly in accessible Power BI functionalities. Data analytics and business analysis expert Helen Wall gives you a useful overview of Power BI, then dives into the steps to configure Power Query and your data model. Helen steps through analyzing single variables and shows you the tools and techniques to measure relationships between variables. She shows you visuals that you can use to pose and answer questions in Power BI, explains useful techniques to enhance your analysis of time series data, and walks you through some best practices for sharing your analysis.",Course,2023,N/A,FALSE,N/A
SQL Essential Training (2019),"Knowing how to code and manage relational databases and database-driven applications is a valuable skill for any career in tech. Completely updated for 2019, <i>SQL Essential Training</i> is designed to help users understand the most common language for database wrangling, SQL. All the lessons have been recorded in SQLiteStudio, an intuitive and easy-to-install database manager. Instructor Bill Weinman teaches all the major features of SQL: creating tables; defining relationships; manipulating strings, numbers, and dates; using triggers to automate actions; and using subselects and views. He offers a solid working knowledge of the language and shows how to retrieve and manage data efficiently. The final chapter includes a real-world example of building a simple application using SQL.<br><br>

This course was created by Bill Weinman. We are pleased to offer this training in our library.",Course,2020,N/A,FALSE,N/A
Excel: Financial Functions in Depth (2019),"Analyzing financial data can seem intimidating, but Microsoft Excel has a wide range of functions to perform these calculations quickly and easily. This course shows users how and when to use each of the financial functions available in Excel. Author Curt Frye covers evaluating loan payments; calculating depreciation; determining rates of return, bond coupon dates, and security durations; calculating prices and yields; and more.<br><br>

Note: This course was recorded in Office 365, but anyone using a recent version of Excel—including 2019, 2016, and some earlier versions—will be able to follow along.",Course,2022,N/A,FALSE,N/A
Tableau and R for Analytics Projects,"On its own, Tableau is a powerful tool that helps professionals analyze, display, and generally make sense of the data at their fingertips. With the addition of R—a free, open-source language for data science—you can glean even more insights from your data. In this course, learn how to combine the analytical strengths of R with the visualization power of Tableau to analyze and present data more effectively. Instructor Curt Frye demonstrates how to install R and RServe; create a connection between Tableau and R; perform several types of analyses in R, from linear regression to cluster identification; and incorporate those analyses into Tableau visualizations.",Course,2022,N/A,FALSE,N/A
Learning Excel: Data Analysis (2019),"Microsoft Excel is an important tool for data analysis. It helps companies accurately assess situations and make better business decisions. This course helps you unlock the power of your organization's data using the data analysis and visualization tools built into Excel. Author Curt Frye starts with the foundational concepts, including basic calculations such as mean, median, and standard deviation, and provides an introduction to the central limit theorem. He then shows how to visualize data, relationships, and future results with Excel's histograms, graphs, and charts. He also covers testing hypotheses, modeling different data distributions, and calculating the covariance and correlation between data sets. Finally, he reviews the process of calculating Bayesian probabilities in Excel. Each chapter includes practical examples that show how to apply the techniques to real-world business problems.",Course,2022,2022-06-09 07:09 UTC,FALSE,N/A
Programming Foundations: Databases,"More from LinkedIn Learning's top experts<br><div><a href=""https://www.linkedin.com/newsletters/6674783657376395265?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">Programming Languages Newsletter</a></div><br>Once you get beyond basic programming, you'll need a database. Databases provide a consistent, organized structure for storing and retrieving large amounts of data. They allow programmers to build more complex applications that can take orders, process payments, make recommendations, authenticate users, and more. This course provides the foundation you need to get started in database programming. Explore the terminology: normal forms, ACID and CRUD, referential integrity, transactions, records, and tables. Learn what role keys and unique values play in a relational model. Discover how to design the best system to contain your data, starting with the tables and relationships at the core of your database. Find out how to write queries to extract the data you need, and how to juggle the different demands of storage, access, performance, and security. Instructor Scott Simpson provides practical examples and clear explanations that will help you design databases that can withstand the needs of your applications, your data, and your users.",Course,2023,2023-02-27 06:00 UTC,FALSE,N/A
Excel: Introduction to VBA,"More from LinkedIn Learning's top experts<br><div><a href=""https://www.linkedin.com/newsletters/6758092793329016832?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">Business Software Newsletter</a></div><br>Excel macros allow you to automate routine tasks. Although working with macros involves the Visual Basic for Applications (VBA) programming language, you don’t need to be a programmer to use it. In this course, Excel guru and Microsoft content developer Chris ""Smitty"" Smith provides a quick introduction to macros and VBA. He walks through the steps of recording a basic macro, then demonstrates how to edit macros, including testing and adjusting, and making recorded macros dynamic. Learn how to do more with Excel using macros.",Course,2023,N/A,FALSE,N/A
Excel: Introduction to Formulas and Functions,"To unlock the power of Excel, you need to use formulas and functions. These calculation tools help you bring information to the surface and make better decisions. <i>Excel: Introduction to Formulas and Functions</i> shows beginner-level users how to summarize and analyze data with these powerful data analysis features. Instructor Curt Frye shows how to create formulas with mathematical operations such as addition, subtraction, multiplication, and division, and how to use cell references in your formulas. He explains how to summarize data with functions like SUM and AVERAGE, and work with data in named ranges and Excel tables. Curt also covers procedures to ensure data integrity, such as data validation, and demonstrates auditing techniques to ensure formulas are correct. Plus, get an introduction to the What-If Analysis toolset, in an example that combines scenarios, data tables, and Goal Seek to generate accurate revenue projections.<br><br>Note: This course was recorded on Excel for Office 365. Most of the course contents will also be useful to those working with the most recent standalone versions of Office, including Office 2019 and 2016.",Course,2022,N/A,FALSE,N/A
Querying Microsoft SQL Server 2022,"Want to learn more about how to query data from SQL Server tables? In this course, instructor Adam Wilbert covers how to retrieve information stored in a Microsoft SQL Server database using the Transact-SQL (T-SQL) language and the updated features of SQL Server 2022.<br><br>Learn the fundamental structure of a successful query, from ideation to execution. Find out how to manipulate data through the use of built-in functions, operators, filters, and other language features to return a data set, ensuring that it’s properly formatted and applicable to a wide variety of needs and perspectives. Along the way, Adam gives you tips and pointers on how to get the most out of your queries. Upon completing this course, you'll be equipped with the commands and keywords you need to know to analyze your data more effectively.",Course,2023,N/A,FALSE,N/A
Lean Six Sigma for a Sustainable Future,"Do you feel that your organization suffers from one or many inefficient processes that add additional costs to operations, reduce productivity, or frustrate customers? Lean Six Sigma is a business process improvement approach that helps achieve sustainable practices. This methodology seeks to capture data to inform process-focused decisions in the pursuit of your organization’s goals. In this course, Tina Agustiady discusses a systems approach to sustainability, the evolution of new products, development of sustainability alliances, and highlights the role of sustainability in advancing organizational goals. If you’re looking to employ a Lean Six Sigma approach to make a huge impact on advancing sustainability goals, join Tina in this course.",Course,2023,N/A,FALSE,N/A
Word Essential Training (Microsoft 365) (2021),"Learn how to create, edit, format, and share documents with ease using the Microsoft 365 (formerly Office 365) version of Word. Follow along with David Rivers as he shows all the essential features of this powerful tool. This course covers how to edit and format text to create a stylish document with instant purpose; create numbered and bulleted lists; work with columns and tables; add images to your documents; collaborate on documents with your team; and share documents via OneDrive and email. Plus, discover how to use the proofing tools in Word to check spelling and grammar, punch up your resume using Resume Assistant, and more.",Course,2022,2022-05-26 10:27 UTC,FALSE,N/A
PowerPoint Essential Training (Office 365/Microsoft 365) (2020),"You don't have to be a designer to create a great visual presentation. Learn how to use Microsoft PowerPoint for Microsoft 365 (formerly Office 365) to quickly create, edit, and share professional-looking presentations. In this training course, Jess Stratton shows how to get started with PowerPoint templates and themes or build a new presentation from scratch. She explains how to change the slide layout; add and edit text, images, charts, video, and animation; format slides for consistency; and add speaker notes and comments to ensure a smooth delivery. Explore strategies for creating inclusive and accessible presentations for users with disabilities. By the end of the course, you'll know how to use the PowerPoint tools and follow a few simple design rules to draw attention to your message and deliver a presentation that shines.",Course,2022,2022-05-27 03:22 UTC,FALSE,N/A
Learning Windows Terminal,"Windows Terminal offers a flexible environment for running your favorite shells. You can run PowerShell, Bash, and more in separate tabs, and customize your profiles to match your style. This short, beginner-level course provides an introduction to Windows Terminal, from installing and launching the program to modifying your profile and customizing the visual appearance of the interface. Instructor Scott Simpson also introduces keyboard shortcuts to make navigation faster—a critical skill for anyone trying to maximize the efficiencies of command-line arguments and shell scripting.",Course,2023,N/A,FALSE,N/A
Advanced Python: Language Features,"<p>Python has become the language of choice of many developers for building all kinds of applications across a wide range of industries, but to fully take advantage of its power and flexibility, you need to master all its advanced functionality. Python is a flexible, customizable language that provides features that other languages support only through third-party libraries or require that you build yourself. In this course, Joe Marini takes you through some of the more advanced features of the Python language. Joe shows you how to write code that is easier to read and maintain, build classes that work just like the ones that are native to the language, and work with some of the newest features of the language itself, like structural pattern matching.
If you're ready to take your Python skills to the next level, join Joe in this course.</p><p>This course is integrated with GitHub Codespaces, an instant cloud developer environment that offers all the functionality of your favorite IDE without the need for any local machine setup. With GitHub Codespaces, you can get hands-on practice from any machine, at any time—all while using a tool that you’ll likely encounter in the workplace. Check out the “Using GitHub Codespaces with this course” video to learn how to get started.</p>",Course,2023,N/A,FALSE,N/A
Microsoft Project for the Web: Reporting with Power BI,"Create clearer, more visually compelling project reports using Power BI, the data visualization tool included with Office. In this course, John Riopel, PMP, gives project management professionals a crash course in Power BI, explaining how it can be used to create more robust project reports. John starts with the basics, explaining the main components of Power BI and showing you how to work with tables, filter the right data using slicers, and format a basic report. Next, John covers more intermediate features of Power BI, such as using samples and content packs, working with measures, and using conditional formatting. Finally, John explains how to work with advanced features, like creating and fine-tuning dashboards in Power BI, merging datasets, and adding custom visuals to your report.",Course,2023,N/A,FALSE,N/A
Advanced Java Programming,"Want to get more out of the Java language and platform? In this platform- and framework-neutral course, instructor Bethan Palmer digs into some of the language’s more advanced features, helping you expand your programming skills as she equips you with techniques you can use when building applications anywhere Java is used: in web, mobile, and desktop applications. Bethan covers a variety of topics, including generics, working with the Collections Framework, and functional programming. Plus, learn about I/O in Java, working with files and directories, and structuring applications using the modular system available in Java.",Course,2021,N/A,FALSE,N/A
HR Guidelines Everyone Should Know (2020),"If your company is like most, your HR guidelines are outdated or on their way to being obsolete. Every HR professional must stay on top of the latest guidance to create a loyal and high-performing workforce. In this course, HR expert Amber Vanderburg shares powerful techniques to build, value, develop, and retain an incredible team. Listeners can learn what recruiting methods to use, how to interview candidates, and how to manage salary negotiations. Additionally, Amber explains how to create an amazing compensation package, cultivate cultures of continuous improvement, and provide powerful feedback. Finally, learn how to maintain healthy employee relations and manage tough conversations.<br><br>

<br><br>This audio-only course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this content in our library.<br><br><img src=""http://files3.lynda.com/files/course_description_images/MadeCraft-Description-Logo.jpg"" height=""25%"" width=""25%"">",Course,2021,N/A,FALSE,N/A
Project Management Foundations: Quality,"<div><a href=""https://www.linkedin.com/newsletters/6772655634862223360?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Daniel's LinkedIn Newsletter</a></div><br>While quality may be a subjective measure when it comes to products like cars, clothes, or food, you can still loosely think of quality as a measure of expectations versus reality. When it comes to the realm of project management, defining quality is a little more cut and dry: To what degree did the project meet its requirements? In this course, Daniel Stanton provides project managers with an introduction to key quality management concepts. As Daniel points out, quality could be the main factor in making a sale and earning repeat business, and understanding the basics of quality management can help you deliver better results. He covers topics like metrics, Six Sigma techniques, quality function deployment, and Pareto analysis, and explains the difference between qualitative and quantitative quality metrics. After this course, you’ll have a better idea of the role quality management plays within project management.",Course,2022,2022-05-13 12:33 UTC,FALSE,N/A
Microsoft Forms Quick Tips,"Want to quickly build and share forms, polls, and quizzes using Microsoft Forms? Tune into this course to get bite-sized tips from an expert—Microsoft Certified Trainer and Microsoft MVP Heather Severino. Heather steps through how to build and organize a brand-new form, including how to configure rating scale questions, create a file upload field, reposition questions, add sections, and apply a theme. She also goes over how to invite others to respond to your form, as well as how to share a form for collaboration in Microsoft Teams. Plus, get tips on how to manage forms and work on group forms that grant multiple individuals editing capabilities.",Course,2022,N/A,FALSE,N/A
2D Animation: Tips and Tricks,"One way to learn animation is an all-in-one course, the kind you can find here in our library. The other path is on-the-job training, and involves picking up tips and tricks as you work. This course will give you that ""on the job"" experience in weekly doses. Every Tuesday, instructor Dermot O' Connor reveals a tip or trick that animation professionals use to save time and create more compelling characters. Learn to use delays, overshoots, and leading gestures to create looser, more realistic movement; draw different mouth shapes for male and female characters; create different styles of walks such as staggers; and more.<br><br>Note: Because this is an ongoing series, viewers will not receive a certificate of completion.",Course,2020,N/A,FALSE,N/A
Having Difficult Conversations,"Conflict is inevitable—in work and in life. Managers must address performance issues, and colleagues with competing priorities must figure out how to work together. These situations call for having difficult conversations. In this course, Marlene Chism explains how to have difficult conversations, build your communication skills, and improve your relationships, teamwork, and business performance. She explains how to identify underlying differences in work styles, goals, and power dynamics and change the way you view conflict. She provides a model to move the conversation in a positive direction and to determine next steps. Plus, learn how to check for resistance with a single useful phrase.",Course,2022,2022-05-20 17:08 UTC,FALSE,N/A
The Non-Technical Skills of Effective Data Scientists,"Most data science training focuses only on key technologies. But real-world data science jobs require more than just technical acumen. When new data scientists change their focus from the classroom to the boardroom, they must be able to empathize, persuade, and lead others if they want to successfully run projects that produce business transformation. This course was designed to help you learn these, and other, nontechnical skills that can help you convert your first data science job into a successful, lifelong career.<br/><br/>There are predictable challenges to be overcome when predictive models introduce change in organizations. Throughout this course, instructor Keith McCormick goes over these challenges and shows how to overcome them. Discover how to confidently defend your turf at work, enhance your own natural curiosity, deepen your commitment to your craft, effectively translate the language of analytics to the language of business, practice diplomacy, and more.",Course,2022,2022-06-08 12:42 UTC,FALSE,N/A
SQL Server Machine Learning Services: Python,"Learn how to analyze SQL Server data with Python. Database expert Adam Wilbert shows how to use a powerful combination of tools, including high-performance Python libraries and the Machine Learning Services add-on, directly inside SQL Server to streamline analysis. Adam shows how to use Python scripts to perform statistical analysis, generate graphics such as scatterplots and bar charts, and process tabular data. He also explains how to turn a Python script into a stored procedure and set up standalone ML services to execute scripts without impacting SQL Server performance.",Course,2021,N/A,FALSE,N/A
Improving Your Leadership Communications,"To be an effective leader, you need to learn how to communicate clearly. In this course leadership expert Colleen Hauk shows you how to become a precise and powerful communicator. Colleen first explains how to set yourself up for success by knowing the basics and exploring emotional intelligence. She then provides guidance on creating a connection and tapping into the senses of your audience. She also shows how to engage in dialogue, remain curious, and align your communication to specific goals. Finally, Colleen shares tips on effective communication in different circumstances, from one-on-one meetings, to group discussions, and virtual meetings. Upon completing this course, you’ll feel confident in your ability to communicate effectively as a leader.
<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.<br><br><img src=""http://files3.lynda.com/files/course_description_images/MadeCraft-Description-Logo.jpg"" height=""20%"" width=""20%"">",Course,2022,2022-05-20 07:37 UTC,FALSE,N/A
Excel: PivotTables in Depth,"Many Excel users aren’t sure how to use PivotTables. In this course, Excel power user Curt Frye shows you how to navigate the complexity of PivotTables while taking advantage of their power. Curt explains how to build PivotTables from single or multiple data sources, pivot and configure a PivotTable, define a default PivotTable layout, and more. He demonstrates ways to summarize your data, add calculated fields, filter your results, and format your layout to make it more readable. Curt steps you through how to sort and filter PivotTable data, format your PivotTable and, and apply conditional formats. Plus, he goes over how to create PivotCharts to visualize your data, enhance PivotTables with macros, and use the Data Model feature to build PivotTables from related tables.
<br><br> 
Note: This course was recorded in Microsoft 365. However, anyone using a recent standalone version of Excel (Excel 2021, 2019, or 2016) should be able to follow along with the course contents.",Course,2023,N/A,FALSE,N/A
Ken Blanchard on Servant Leadership,"Self-serving leaders can be both destructive and highly ineffective. By making leadership all about them, they create a negative working environment where employees often lack the motivation to produce their best work. In this concise course, Ken Blanchard—a pioneer in the leadership space—shares his insights on servant leadership. Ken discusses practical ways for leaders to implement this approach in their organization, covering habits of servant leaders, how to create a servant leader culture, and how to manage effectively. Upon completing this course, you'll have a greater understanding of how to operate as a servant leader, and shift your focus from yourself to your employees and what you're ultimately trying to accomplish.",Course,2020,N/A,FALSE,N/A
